Titel,Abkürzung,Ausfertigungsdatum,Fundstelle,Pfad
Verordnung über die Geltung des Abkommens vom 10. November 1995 zwischen der  Bundesrepublik Deutschland und den Vereinten Nationen über den Sitz des Freiwilligenprogramms  der Vereinten Nationen für das Informationszentrum der Vereinten Nationen in Bonn,UNFreiwProgrAbkGeltV,1998-04-24,"BGBlII:1998,761",gesetze-master/u/unfreiwprograbkgeltv/index.md
Abkommen zwischen der Regierung der Bundesrepublik Deutschland den Vereinten  Nationen und dem Sekretariat des Rahmenübereinkommens der Vereinten Nationen über  Klimaänderungen über den Sitz des Sekretariats des Übereinkommens,UNSekrSitzAbk,1996-06-20,"BGBlII:1996,2782",gesetze-master/u/unsekrsitzabk/index.md
Abkommen zwischen der Bundesrepublik Deutschland und den Vereinigten Staaten  von Amerika über die Rechtsstellung von Urlaubern,UrlRAbk USA,1959-08-03,"BGBlII:1961,1384",gesetze-master/u/urlrabk_usa/index.md
Drittes Gesetz zur Neuordnung des Geldwesens,UmstG,1948-06-20,"WiGBl:1948,BeilageNr5,13",gesetze-master/u/umstg/index.md
Erste Durchführungsverordnung zum Ersten Überleitungsgesetz,ÜblG1DV 1,1955-02-27,"BGBlI:1955,88",gesetze-master/u/ueblg1dv_1/index.md
Charta der Vereinten Nationen,UNCh,1945-06-26,"BGBlII:1973,431",gesetze-master/u/unch/index.md
Verordnung zur Regelung einer Übergangszahlung an Beamte,ÜZV,1975-07-23,"BGBlI:1975,1982",gesetze-master/u/uezv/index.md
Verordnung zur Durchführung des § 10 des Zweiten Überleitungsgesetzes,ÜblG2§10DV,1952-11-24,"BGBlI:1952,741",gesetze-master/u/ueblg2_10dv/index.md
Verordnung über Leistungsbezüge und Zulagen an den Universitäten der Bundeswehr,UniBwLeistBV,2004-12-15,"BGBlI:2004,3504",gesetze-master/u/unibwleistbv/index.md
Verordnung über die örtliche Zuständigkeit für die Umsatzsteuer im Ausland  ansässiger Unternehmer,UStZustV,2001-12-20,"BGBlI:2001,3794,3814",gesetze-master/u/ustzustv/index.md
Verordnung nach dem Umweltauditgesetz über die Erweiterung des Gemeinschaftssystems  für das Umweltmanagement und die Umweltbetriebsprüfung auf weitere Bereiche,UAG-ErwV,1998-03-02,"BGBlI:1998,338",gesetze-master/u/uag-erwv/index.md
Gesetz zu dem Übereinkommen vom 24. Oktober 1956 über das auf Unterhaltsverpflichtungen  gegenüber Kindern anzuwendende Recht,UhÜbkG,1961-07-18,"BGBlII:1961,1012",gesetze-master/u/uhuebkg/index.md
Umsatzsteuer-Durchführungsverordnung,UStDV 1980,1979-12-21,"BGBlI:1979,2359",gesetze-master/u/ustdv_1980/index.md
Verordnung über die Erstattung von Umsatzsteuer an ausländische ständige diplomatische  Missionen und berufskonsularische Vertretungen sowie an ihre ausländischen Mitglieder,UStErstVO,1970-04-03,"BGBlI:1970,316",gesetze-master/u/usterstvo/index.md
"Protokoll zur Änderung des Abkommens zwischen der Regierung der Bundesrepublik  Deutschland, den Vereinten Nationen und dem Sekretariat des Rahmenübereinkommens  der Vereinten Nationen über Klimaänderungen über den Sitz des Sekretariats des Übereinkommens",UNSekrSitzAbkÄndProt,2009-04-01,"BGBlII:2009,295",gesetze-master/u/unsekrsitzabkaendprot/index.md
Abkommen über die Vorrechte und Befreiungen der Sonderorganisationen der Vereinten  Nationen,UNSOrgVorRAbk,1947-11-21,"BGBlII:1954,640",gesetze-master/u/unsorgvorrabk/index.md
Gesetz über die unentgeltliche Beförderung Schwerbehinderter im öffentlichen  Personenverkehr,UnBefG 1979,1979-07-09,"BGBlI:1979,989",gesetze-master/u/unbefg_1979/index.md
Verordnung über Kosten für Amtshandlungen der informationspflichtigen Stellen  beim Vollzug des Umweltinformationsgesetzes,UIGGebV,1994-12-07,"BGBlI:1994,3732",gesetze-master/u/uiggebv/index.md
Verordnung über die Anzeige von Versicherungsfällen in der gesetzlichen Unfallversicherung,UVAV,2002-01-23,"BGBlI:2002,554",gesetze-master/u/uvav/index.md
Umwandlungssteuergesetz,UmwStG 2006,2006-12-07,"BGBlI:2006,2782,2791",gesetze-master/u/umwstg_2006/index.md
Verordnung über Träger der Unfallversicherung,UVTrägerV,1929-05-17,"RGBlI:1929,104",gesetze-master/u/uvtraegerv/index.md
Übereinkommen über die Überstellung verurteilter Personen,ÜvPÜbk,1983-03-21,"BGBlII:1991,1007",gesetze-master/u/uevpuebk/index.md
Verordnung über die Zuständigkeit und das Verfahren bei der Unabkömmlichstellung,UkV 2005,2005-08-24,"BGBlI:2005,2538",gesetze-master/u/ukv_2005/index.md
"Gesetz zu dem Abkommen vom 8. März 1960 zwischen der Bundesrepublik Deutschland  und der Französischen Republik über den Schutz von Herkunftsangaben, Ursprungsbezeichnungen  und anderen geographischen Bezeichnungen",UrsprBezAbkFRAG,1961-01-21,"BGBlII:1961,22",gesetze-master/u/ursprbezabkfrag/index.md
Gesetz über den Abschluß von Unterstützungen der Bürger der ehemaligen Deutschen  Demokratischen Republik bei Gesundheitsschäden infolge medizinischer Maßnahmen,UntAbschlG,1994-05-06,"BGBlI:1994,990",gesetze-master/u/untabschlg/index.md
Verordnung zur Ermittlung und Verteilung von Überzins und Überschuß in der  Krankenversicherung,ÜbschV,1996-11-08,"BGBlI:1996,1687",gesetze-master/u/uebschv/index.md
Notenwechsel vom 10./23. September 1997 zwischen der Bundesrepublik Deutschland  und den Vereinten Nationen (Vereinbarung über die Geltung des Abkommens vom 10.  November 1995 zwischen der Bundesrepublik Deutschland und den Vereinten Nationen  über den Sitz des Freiwilligenprogramms der Vereinten Nationen für das Informationszentrum  der Vereinten Nationen in Bonn),UNFreiwProgrAbkVbg,1997-09-10,"BGBlII:1998,762",gesetze-master/u/unfreiwprograbkvbg/index.md
Verordnung über das Verfahren zur Zulassung von Umweltgutachtern und Umweltgutachterorganisationen  sowie zur Erteilung von Fachkenntnisbescheinigungen nach dem Umweltauditgesetz,UAGZVV,1995-12-18,"BGBlI:1995,1841",gesetze-master/u/uagzvv/index.md
Umwelthaftungsgesetz,UmweltHG,1990-12-10,"BGBlI:1990,2634",gesetze-master/u/umwelthg/index.md
Verordnung über die Umstellungsrechnung der Geldinstitute aus Anlaß der Neuordnung  des Geldwesens,UmstGeldInstV,1958-08-11,"BGBlI:1958,589",gesetze-master/u/umstgeldinstv/index.md
Gesetz über die Ergänzung von Vorschriften des Umstellungsrechts und über die  Ausstattung der Berliner Altbanken mit Ausgleichsforderungen,UErgG,1953-09-21,"BGBlI:1953,1439",gesetze-master/u/uergg/index.md
Dritte Verordnung über die Gewährung von Vorrechten und Befreiungen an die  Sonderorganisationen der Vereinten Nationen,UNSOrgVorRV 3,1988-10-28,"BGBlII:1988,979",gesetze-master/u/unsorgvorrv_3/index.md
Bergverordnung über vermessungstechnische und sicherheitliche Unterlagen,UnterlagenBergV,1982-11-11,"BGBlI:1982,1553",gesetze-master/u/unterlagenbergv/index.md
Gesetz zu dem Abkommen vom 13. Mai 1975 zwischen der Bundesrepublik Deutschland  und dem Königreich Belgien über die Befreiung öffentlicher Urkunden von der Legalisation,UrkBefrBELG,1980-06-25,"BGBlII:1980,813",gesetze-master/u/urkbefrbelg/index.md
Gesetz über die Sicherung des Unterhalts der zum Wehrdienst einberufenen Wehrpflichtigen  und ihrer Angehörigen,USG,1957-07-26,"BGBlI:1957,1046",gesetze-master/u/usg/index.md
Verordnung über die Berufsausbildung zum Uhrmacher/zur Uhrmacherin,UhrmAusbV 2001,2001-07-02,"BGBlI:2001,1476(3230)",gesetze-master/u/uhrmausbv_2001/index.md
Gesetz über die Statistik der Überschuldung privater Personen,ÜSchuldStatG,2011-12-22,"BGBlI:2011,3083",gesetze-master/u/ueschuldstatg/index.md
Verordnung über die Gewährung von Vorrechten und Befreiungen an die Sonderorganisationen  der Vereinten Nationen,UNSOrgVorRV,1971-03-18,"BGBlII:1971,129",gesetze-master/u/unsorgvorrv/index.md
Verordnung über die Berufsausbildung in den umwelttechnischen Berufen,UmwAusbV,2002-06-17,"BGBlI:2002,2335",gesetze-master/u/umwausbv/index.md
Übereinkommen über die Anerkennung und Vollstreckung von Unterhaltsentscheidungen,UhEntschÜbk Haag,1973-10-02,"BGBlII:1986,826",gesetze-master/u/uhentschuebk_haag/index.md
Verordnung zur Bildung von Altersrückstellungen durch die gesetzlichen Unfallversicherungsträger,UV-AltRückV,2009-09-28,"BGBlI:2009,3170",gesetze-master/u/uv-altrueckv/index.md
Gesetz zum Beitritt der Bundesrepublik Deutschland zur Charta der Vereinten  Nationen,UNChG,1973-06-06,"BGBlII:1973,430",gesetze-master/u/unchg/index.md
Abkommen zwischen der Bundesrepublik Deutschland und den Vereinten Nationen  über den Sitz des Freiwilligenprogramms der Vereinten Nationen,UNFreiwProgrAbk,1995-11-10,"BGBlII:1996,905",gesetze-master/u/unfreiwprograbk/index.md
"Gesetz zu dem Abkommen vom 20. Juni 1996 zwischen der Regierung der Bundesrepublik  Deutschland, den Vereinten Nationen und dem Sekretariat des Rahmenübereinkommens  der Vereinten Nationen über Klimaänderungen über den Sitz des Sekretariats des Übereinkommens  und zur Änderung des Bundesnaturschutzgesetzes",UNSekrSitzAbkG,1997-05-27,"BGBlII:1997,1054",gesetze-master/u/unsekrsitzabkg/index.md
Drittes Umstellungsergänzungsgesetz,UErgG 3,1964-01-22,"BGBlI:1964,33",gesetze-master/u/uergg_3/index.md
Gesetz zu den Haager übereinkommen vom 2. Oktober 1973 über die Anerkennung  und Vollstreckung von Unterhaltsentscheidungen sowie über das auf Unterhaltspflichten  anzuwendende Recht,UhEntsch/UhPflÜbkHaagG,1986-07-25,"BGBlII:1986,825",gesetze-master/u/uhentsch_uhpfluebkhaagg/index.md
Übereinkommen über das auf Unterhaltspflichten anzuwendende Recht,UhPflÜbk Haag,1973-10-02,"BGBlII:1986,837",gesetze-master/u/uhpfluebk_haag/index.md
Umweltrahmengesetz,URaG,1990-06-29,"GBlDDRI:1990,649",gesetze-master/u/urag/index.md
Gesetz zur Verlängerung der Schutzfristen im Urheberrecht,UrhRSchFrVerlG,1934-12-13,"RGBlII:1934,1395",gesetze-master/u/urhrschfrverlg/index.md
Abkommen zwischen der Bundesrepublik Deutschland und dem Königreich Belgien  über die Befreiung öffentlicher Urkunden von der Legalisation,UrkBefrAbk BEL,1975-05-13,"BGBlII:1980,815",gesetze-master/u/urkbefrabk_bel/index.md
Umweltstatistikgesetz,UStatG 2005,2005-08-16,"BGBlI:2005,2446",gesetze-master/u/ustatg_2005/index.md
Gesetz über die Errichtung eines Umweltbundesamtes,UBAG,1974-07-22,"BGBlI:1974,1505",gesetze-master/u/ubag/index.md
Gesetz über die Anwendung unmittelbaren Zwanges und die Ausübung besonderer  Befugnisse durch Soldaten der Bundeswehr und verbündeter Streitkräfte sowie zivile  Wachpersonen,UZwBwG,1965-08-12,"BGBlI:1965,796",gesetze-master/u/uzwbwg/index.md
Bekanntmachung zu § 126 Abs. 3 Satz 2 in Verbindung mit § 121 Abs. 4 Satz 2  des Urheberrechtsgesetzes,UrhG§126/§121Bek 1988-09,1988-09-29,"BGBlI:1988,2071",gesetze-master/u/urhg_126__121bek_1988-09/index.md
Gesetz über Urheberrecht und verwandte Schutzrechte,UrhG,1965-09-09,"BGBlI:1965,1273",gesetze-master/u/urhg/index.md
Zweite Verordnung über die Gewährung von Vorrechten und Befreiungen an die  Sonderorganisationen der Vereinten Nationen,UNSOrgVorRV 2,1979-07-19,"BGBlII:1979,812",gesetze-master/u/unsorgvorrv_2/index.md
Gesetz zu dem Übereinkommen der Vereinten Nationen vom 11. April 1980 über  Verträge über den internationalen Warenkauf sowie zur Änderung des Gesetzes zu dem  Übereinkommen vom 19. Mai 1956 über den Beförderungsvertrag im internationalen Straßengüterverkehr  (CMR),UNWaVtrÜbkG,1989-07-05,"BGBlII:1989,586",gesetze-master/u/unwavtruebkg/index.md
Übereinkommen zur Befreiung ausländischer öffentlicher Urkunden von der Legalisation,UrkBefrÜbk Haag,1961-10-05,"BGBlII:1965,876",gesetze-master/u/urkbefruebk_haag/index.md
Verordnung über die Umweltverträglichkeitsprüfung bergbaulicher Vorhaben,UVPBergbV,1990-07-13,"BGBlI:1990,1420",gesetze-master/u/uvpbergbv/index.md
Gesetz über die Stellung des Landes Berlin im Finanzsystem des Bundes,ÜblG 3,1952-01-04,"BGBlI:1952,1",gesetze-master/u/ueblg_3/index.md
Verordnung über die Berechnung des Kapitalwerts bei Abfindung von Leistungen  aus der gesetzlichen Unfallversicherung,UVKapWertV,1965-08-17,"BGBlI:1965,894",gesetze-master/u/uvkapwertv/index.md
Gesetz zur Ausführung des Haager Übereinkommens vom 15. April 1958 über die  Anerkennung und Vollstreckung von Entscheidungen auf dem Gebiet der Unterhaltspflicht  gegenüber Kindern,UhAnerkÜbkAG,1961-07-18,"BGBlI:1961,1033",gesetze-master/u/uhanerkuebkag/index.md
Verordnung über die Festsetzung der Länderschlüsselzahlen und die Ermittlung  der Schlüsselzahlen für die Aufteilung des Gemeindeanteils am Aufkommen der Umsatzsteuer  nach § 5c des Gemeindefinanzreformgesetzes,UStGemAntV 2011,2011-09-28,"BGBlI:2011,1951",gesetze-master/u/ustgemantv_2011/index.md
Zweites Gesetz zur Überleitung von Lasten und Deckungsmitteln auf den Bund,ÜblG 2,1951-08-21,"BGBlI:1951,774",gesetze-master/u/ueblg_2/index.md
Übereinkommen der Vereinten Nationen über Verträge über den internationalen  Warenkauf,UNWaVtrÜbk,1980-04-11,"BGBlII:1989,588",gesetze-master/u/unwavtruebk/index.md
Gesetz zu dem Haager Übereinkommen vom 5. Oktober 1961 zur Befreiung ausländischer  öffentlicher Urkunden von der Legalisation,UrkBefrÜbkG Haag,1965-06-21,"BGBlII:1965,875",gesetze-master/u/urkbefruebkg_haag/index.md
Drittes Gesetz über Änderungen in der Unfallversicherung,UVGÄndG 3,1928-12-20,"RGBlI:1928,405",gesetze-master/u/uvgaendg_3/index.md
Vierte Verordnung über die Inkraftsetzung von Änderungen internationaler Vorschriften  über den Umweltschutz im Seeverkehr,UmwSeeInkrV 4,2001-01-10,"BGBlII:2001,18",gesetze-master/u/umwseeinkrv_4/index.md
Gesetz zu dem Übereinkommen vom 21. März 1983 über die Überstellung verurteilter  Personen,ÜvPÜbkG,1991-09-26,"BGBlII:1991,1006",gesetze-master/u/uevpuebkg/index.md
"Gesetz zur Auflösung der Urkundenstellen in den Ländern Brandenburg, Mecklenburg-Vorpommern,  Sachsen, Sachsen-Anhalt und Thüringen",UrkStAuflG,1994-11-23,"BGBlI:1994,3474",gesetze-master/u/urkstauflg/index.md
Zweite Durchführungsverordnung zum Gesetz über die Ergänzung von Vorschriften  des Umstellungsrechts und über die Ausstattung der Berliner Altbanken mit Ausgleichsforderungen  (Umstellungsergänzungsgesetz) (Anmeldung von Ansprüchen aus Schuldverschreibungen  Berliner Altbanken),UErgGDV 2,1954-04-26,"BAnz:1954,Nr81",gesetze-master/u/uerggdv_2/index.md
Verordnung zum Schutz vor schädlichen Wirkungen künstlicher ultravioletter  Strahlung,UVSV,2011-07-20,"BGBlI:2011,1412",gesetze-master/u/uvsv/index.md
Übereinkommen über die Anerkennung und Vollstreckung von Entscheidungen auf  dem Gebiet der Unterhaltspflicht gegenüber Kindern,UhAnerkÜbk Haag,1958-04-15,"BGBlII:1961,1006",gesetze-master/u/uhanerkuebk_haag/index.md
Umwandlungssteuergesetz,UmwStG 1995,1994-10-28,"BGBlI:1994,3267",gesetze-master/u/umwstg_1995/index.md
Gesetz über die Wahrnehmung von Urheberrechten und verwandten Schutzrechten,UrhWahrnG,1965-09-09,"BGBlI:1965,1294",gesetze-master/u/urhwahrng/index.md
Übereinkommen über das auf Unterhaltsverpflichtungen gegenüber Kindern anzuwendende  Recht,UhÜbk Haag,1956-10-24,"BGBlII:1961,1013",gesetze-master/u/uhuebk_haag/index.md
Verordnung zur Vermeidung unbilliger Härten durch Inanspruchnahme einer vorgezogenen  Altersrente,UnbilligkeitsV,2008-04-14,"BGBlI:2008,734",gesetze-master/u/unbilligkeitsv/index.md
Abkommen zwischen der Bundesrepublik Deutschland und der Französischen Republik  über die Befreiung öffentlicher Urkunden von der Legalisation,UrkBefrAbk FRA,1971-09-13,"BGBlII:1974,1075(1100)",gesetze-master/u/urkbefrabk_fra/index.md
Bekanntmachung nach § 127a Abs. 3 des Urheberrechtsgesetzes,UrhG§127aAbs3Bek,2005-09-19,"BGBlI:2005,2795",gesetze-master/u/urhg_127aabs3bek/index.md
Übereinkommen über die Geltendmachung von Unterhaltsansprüchen im Ausland,UhAnsprAuslÜbk,1956-06-20,"BGBlII:1959,150",gesetze-master/u/uhansprausluebk/index.md
Gesetz zu dem Übereinkommen vom 13. Februar 1946 über die Vorrechte und Immunitäten  der Vereinten Nationen,UNOImmÜbkG,1980-08-16,"BGBlII:1980,941",gesetze-master/u/unoimmuebkg/index.md
Verordnung zur Übertragung der Zuständigkeit für die Verfolgung und Ahndung  bestimmter Ordnungswidrigkeiten nach § 37 Abs. 1 des Umweltauditgesetzes auf das  Bundesverwaltungsamt,UAGOWiZustV,2004-04-05,"BGBlI:2004,557",gesetze-master/u/uagowizustv/index.md
Umsatzsteuergesetz,UStG 1980,1979-11-26,"BGBlI:1979,1953",gesetze-master/u/ustg_1980/index.md
Gesetz zu dem Vertrag vom 7. Juni 1969 zwischen der Bundesrepublik Deutschland  und der Italienischen Republik über den Verzicht auf die Legalisation von Urkunden,UrkBefrITAG,1974-07-30,"BGBlII:1974,1069",gesetze-master/u/urkbefritag/index.md
Verordnung über das Unternehmensregister,URV,2007-02-26,"BGBlI:2007,217",gesetze-master/u/urv/index.md
Gesetz zur Anwendung des Umweltauditgesetzes und seiner Rechtsverordnungen  auf die Verordnung (EG) Nr. 761/2001 des Europäischen Parlaments und des Rates vom  19. März 2001 über die freiwillige Beteiligung von Organisationen an einem Gemeinschaftssystem  für das Umweltmanagement und die Umweltbetriebsprüfung,UAGAnwG,2001-09-09,"BGBlI:2001,2331,2336",gesetze-master/u/uaganwg/index.md
Verordnung über das Meisterprüfungsberufsbild und über die Prüfungsanforderungen  in den Teilen I und II der Meisterprüfung im Uhrmacher-Handwerk,UhrmMstrV 2005,2005-11-01,"BGBlI:2005,3122",gesetze-master/u/uhrmmstrv_2005/index.md
Verordnung über die Umstellungsrechnung der Bausparkassen aus Anlaß der Neuordnung  des Geldwesens,UmstBauSparkV,1959-07-16,"BGBlI:1959,551",gesetze-master/u/umstbausparkv/index.md
Vertrag zwischen der Bundesrepublik Deutschland und der Italienischen Republik  über den Verzicht auf die Legalisation von Urkunden,UrkBefrVtr ITA,1969-06-07,"BGBlII:1974,1071",gesetze-master/u/urkbefrvtr_ita/index.md
Gesetz zur Überleitung von Lasten und Deckungsmitteln vom Saarland auf den  Bund,ÜblG 5,1959-06-30,"BGBlI:1959,335",gesetze-master/u/ueblg_5/index.md
Verordnung über Gebühren und Auslagen für Amtshandlungen der Zulassungsstelle  und der Widerspruchsbehörde bei der Durchführung des Umweltauditgesetzes,UAGGebV 2002,2002-09-04,"BGBlI:2002,3503",gesetze-master/u/uaggebv_2002/index.md
Verordnung über das Register anonymer und pseudonymer Werke,UrhRollV,1965-12-18,"BGBlI:1965,2105",gesetze-master/u/urhrollv/index.md
Gesetz zur Überleitung von Bundesrecht nach Berlin (West),ÜblG 6,1990-09-25,"BGBlI:1990,2106",gesetze-master/u/ueblg_6/index.md
Gesetz über ergänzende Vorschriften zu Rechtsbehelfen in Umweltangelegenheiten  nach der EG-Richtlinie 2003/35/EG,UmwRG,2006-12-07,"BGBlI:2006,2816",gesetze-master/u/umwrg/index.md
Gesetz gegen den unlauteren Wettbewerb,UWG 2004,2004-07-03,"BGBlI:2004,1414",gesetze-master/u/uwg_2004/index.md
Gesetz zur Anpassung des Umsatzsteuergesetzes und anderer Rechtsvorschriften  an den EG-Binnenmarkt,UStBMG,1992-08-25,"BGBlI:1992,1548",gesetze-master/u/ustbmg/index.md
Gesetz über Unternehmensbeteiligungsgesellschaften,UBGG,1986-12-17,"BGBlI:1986,2488",gesetze-master/u/ubgg/index.md
"Verordnung über die Bestimmung der Behörde, die für die Beglaubigung nach Artikel  2 des Vertrages vom 7. Juni 1969 zwischen der Bundesrepublik Deutschland und der  Italienischen Republik über den Verzicht auf die Legalisation von Urkunden zuständig  ist",UrkBefrITAV,1974-09-24,"BGBlI:1974,2353",gesetze-master/u/urkbefritav/index.md
Gesetz über die Vermeidung und Sanierung von Umweltschäden,USchadG,2007-05-10,"BGBlI:2007,666",gesetze-master/u/uschadg/index.md
Vierundzwanzigste Verordnung zur Anpassung der Unterhaltshilfe nach dem Lastenausgleichsgesetz,UhAnpV 24,1997-07-10,"BGBlI:1997,1806",gesetze-master/u/uhanpv_24/index.md
Notenwechsel zum Abkommen zwischen der Bundesrepublik Deutschland und den Vereinten  Nationen über den Sitz des Freiwilligenprogramms der Vereinten Nationen,UNFreiwProgrAbkNotW,1995-11-10,"BGBlII:1996,916",gesetze-master/u/unfreiwprograbknotw/index.md
Gesetz über die Umweltverträglichkeitsprüfung,UVPG,1990-02-12,"BGBlI:1990,205",gesetze-master/u/uvpg/index.md
Gesetz über den unmittelbaren Zwang bei Ausübung öffentlicher Gewalt durch  Vollzugsbeamte des Bundes,UZwG,1961-03-10,"BGBlI:1961,165",gesetze-master/u/uzwg/index.md
Erstes Gesetz zur Überleitung von Lasten und Deckungsmitteln auf den Bund,ÜblG 1,1950-11-28,"BGBl:1950,773",gesetze-master/u/ueblg_1/index.md
Gesetz zur Ausführung des Übereinkommens vom 21. März 1983 über die Überstellung  verurteilter Personen,ÜAG,1991-09-26,"BGBlI:1991,1954(1994I1425);1992,1232",gesetze-master/u/ueag/index.md
Verordnung über die Beleihung der Zulassungsstelle nach dem Umweltauditgesetz,UAGBV,1995-12-18,"BGBlI:1995,2013",gesetze-master/u/uagbv/index.md
